"logFC","AveExpr","t","pvalue","adj.pvalue","B","contrast","protein","organism","label","TlogFC"
"sp|P15703|BGL2_YEAST1",0.575620370221788,16.5472142280775,13.7698396287426,1.73384637949702e-05,0.00133489848588794,3.83757266836923,"conditionD-conditionB","sp|P15703|BGL2_YEAST","YEAST","1","0.584962500721156"
"sp|P13188|SYQ_YEAST1",0.63119256658238,16.2533141745574,13.7311172909776,1.7603623783197e-05,0.00133489848588794,3.82168906981283,"conditionD-conditionB","sp|P13188|SYQ_YEAST","YEAST","1","0.584962500721156"
"sp|P38013|AHP1_YEAST1",0.5360666417264,18.2506371327824,13.7109894578759,1.77433368781173e-05,0.00133489848588794,3.81341230152713,"conditionD-conditionB","sp|P38013|AHP1_YEAST","YEAST","1","0.584962500721156"
"sp|P00330|ADH1_YEAST1",0.523068198018485,21.6164331296755,13.6923182866542,1.78741064559055e-05,0.00133489848588794,3.80572195570847,"conditionD-conditionB","sp|P00330|ADH1_YEAST","YEAST","1","0.584962500721156"
"sp|P38910|CH10_YEAST1",0.565260353168139,17.3186097452242,13.6903982400678,1.78876183056511e-05,0.00133489848588794,3.80493043307318,"conditionD-conditionB","sp|P38910|CH10_YEAST","YEAST","1","0.584962500721156"
"sp|P36008|EF1G2_YEAST1",0.529828514042087,17.9773243241769,13.608292146942,1.8476826093602e-05,0.00133489848588794,3.77096245264312,"conditionD-conditionB","sp|P36008|EF1G2_YEAST","YEAST","1","0.584962500721156"
"sp|P00560|PGK_YEAST1",0.514896447390687,22.3608666478122,13.6052830079152,1.84988502729622e-05,0.00133489848588794,3.76971305836984,"conditionD-conditionB","sp|P00560|PGK_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX49|RL18A_YEAST1",0.537705949385153,17.7513808652255,13.5623776045225,1.88162631376642e-05,0.00133489848588794,3.75186403007424,"conditionD-conditionB","sp|P0CX49|RL18A_YEAST","YEAST","1","0.584962500721156"
"sp|P41940|MPG1_YEAST1",0.542452752841566,18.606701691554,13.5535154009983,1.88826212911895e-05,0.00133489848588794,3.74816917303739,"conditionD-conditionB","sp|P41940|MPG1_YEAST","YEAST","1","0.584962500721156"
"sp|P46654|RSSA2_YEAST1",0.599497264555637,17.9002137033849,13.5335685739075,1.90329882750894e-05,0.00133489848588794,3.73984270180312,"conditionD-conditionB","sp|P46654|RSSA2_YEAST","YEAST","1","0.584962500721156"
"sp|Q03558|OYE2_YEAST1",0.604767278713958,18.3740311391397,13.5182174718959,1.9149670543492e-05,0.00133489848588794,3.73342502331526,"conditionD-conditionB","sp|Q03558|OYE2_YEAST","YEAST","1","0.584962500721156"
"sp|P31787|ACBP_YEAST1",0.594987494013212,15.7489724447402,13.4685662600859,1.95328685031285e-05,0.00133489848588794,3.71261036419327,"conditionD-conditionB","sp|P31787|ACBP_YEAST","YEAST","1","0.584962500721156"
"sp|P07267|CARP_YEAST1",0.581470552207584,16.6153712507632,13.4357289747328,1.97912574633135e-05,0.00133489848588794,3.69879595179933,"conditionD-conditionB","sp|P07267|CARP_YEAST","YEAST","1","0.584962500721156"
"sp|P15180|SYKC_YEAST1",0.545854305013211,16.972386813855,13.3600244827553,2.04024331163435e-05,0.00133489848588794,3.66679964675723,"conditionD-conditionB","sp|P15180|SYKC_YEAST","YEAST","1","0.584962500721156"
"sp|P26784|RL16A_YEAST1",0.554134326332864,17.0063313479947,13.3595593721439,2.04062560793561e-05,0.00133489848588794,3.66660242805944,"conditionD-conditionB","sp|P26784|RL16A_YEAST","YEAST","1","0.584962500721156"
"sp|P06169|PDC1_YEAST1",0.500787941489889,21.3536238535326,13.3484213534509,2.04980568596892e-05,0.00133489848588794,3.66187727880758,"conditionD-conditionB","sp|P06169|PDC1_YEAST","YEAST","1","0.584962500721156"
"sp|P22217|TRX1_YEAST1",0.554276124986401,18.0864395851964,13.3292307192643,2.06573701963097e-05,0.00133489848588794,3.65372533664886,"conditionD-conditionB","sp|P22217|TRX1_YEAST","YEAST","1","0.584962500721156"
