"logFC","AveExpr","t","pvalue","adj.pvalue","B","contrast","protein","organism","label","TlogFC"
"sp|P22217|TRX1_YEAST1",0.494319458899165,11.6542661133733,12.9298326286811,1.30386227296212e-05,0.00110725807842982,4.08219137800797,"conditionD-conditionB","sp|P22217|TRX1_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX41|RL23A_YEAST1",0.428417577909473,10.7819839560597,12.9239472595113,1.30732481684853e-05,0.00110725807842982,4.07959867699399,"conditionD-conditionB","sp|P0CX41|RL23A_YEAST","YEAST","1","0.584962500721156"
"sp|P09457|ATPO_YEAST1",0.551088838798318,7.70213599439442,12.919722406178,1.30981701273152e-05,0.00110725807842982,4.07773658865533,"conditionD-conditionB","sp|P09457|ATPO_YEAST","YEAST","1","0.584962500721156"
"sp|P41940|MPG1_YEAST1",0.459457816784933,10.3777506173723,12.9047767449767,1.31867768683269e-05,0.00110725807842982,4.0711433018203,"conditionD-conditionB","sp|P41940|MPG1_YEAST","YEAST","1","0.584962500721156"
"sp|P17255|VATA_YEAST1",0.448184921038422,9.45489360732263,12.7989455422842,1.38345105866637e-05,0.00110725807842982,4.024184750161,"conditionD-conditionB","sp|P17255|VATA_YEAST","YEAST","1","0.584962500721156"
"sp|P06787|CALM_YEAST1",0.513458873319305,11.0487629722357,12.7918682220398,1.38791290076643e-05,0.00110725807842982,4.0210274179981,"conditionD-conditionB","sp|P06787|CALM_YEAST","YEAST","1","0.584962500721156"
"sp|P00924|ENO1_YEAST1",0.496283329156087,9.92333377519222,12.7776440444847,1.39693106191476e-05,0.00110725807842982,4.01467523349651,"conditionD-conditionB","sp|P00924|ENO1_YEAST","YEAST","1","0.584962500721156"
"sp|P54115|ALDH6_YEAST1",0.481531796895078,10.0145659877934,12.6856098462427,1.45695310166756e-05,0.00110725807842982,3.9733641187205,"conditionD-conditionB","sp|P54115|ALDH6_YEAST","YEAST","1","0.584962500721156"
"sp|P40825|SYA_YEAST1",0.495776626429468,8.70731721696777,12.6720174181482,1.46606917130911e-05,0.00110725807842982,3.96723181329965,"conditionD-conditionB","sp|P40825|SYA_YEAST","YEAST","1","0.584962500721156"
"sp|P29547|EF1G1_YEAST1",0.460860055222962,9.0268940415358,12.6603589005502,1.47394101466481e-05,0.00110725807842982,3.96196559019018,"conditionD-conditionB","sp|P29547|EF1G1_YEAST","YEAST","1","0.584962500721156"
