DEA,expression_type,MVI,Normalization,label
siggenes,pro_LFQ,mice,No_norm,2.0
limma,MaxLFQ_raw,zero,quantiles,2.0
siggenes,norm,zero,quantiles,2.0
siggenes,pro_LFQ,knn,quantiles,2.0
ROTS,norm_raw,MLE,center.median,2.0
limma,raw,min,quantiles,2.0
siggenes,pro_LFQ,knn,center.mean,2.0
proDA,MaxLFQ_raw,MLE,No_norm,2.0
siggenes,norm,knn,center.median,2.0
ROTS,norm_raw,MLE,quantiles,2.0
ROTS,norm_raw,bpca,quantiles,2.0
SAM,norm,MinProb,quantiles,2.0
SAM,norm,mice,No_norm,2.0
siggenes,norm,zero,center.mean,2.0
limma,norm,zero,vsn,2.0
SAM,norm,MinDet,quantiles,2.0
siggenes,norm,mice,center.mean,2.0
limma,pro_LFQ,zero,div.median,2.0
ttest,pro_LFQ,min,quantiles,2.0
limma,norm_raw,min,quantiles,2.0
limma,pro_LFQ,zero,div.mean,2.0
ROTS,norm_raw,min,center.mean,2.0
siggenes,pro_LFQ,mice,quantiles,2.0
ttest,pro_LFQ,missForest,No_norm,2.0
SAM,pro_LFQ,MinProb,center.mean,2.0
siggenes,pro_LFQ,zero,vsn,2.0
DEP,pro_LFQ,nbavg,center.mean,2.0
siggenes,norm,knn,quantiles,2.0
ROTS,raw,min,center.median,2.0
ROTS,raw,min,center.mean,2.0
DEP,MaxLFQ_raw,MLE,quantiles,2.0
siggenes,norm,knn,center.mean,2.0
limma,raw,QRILC,center.mean,2.0
SAM,norm,nbavg,quantiles,2.0
siggenes,pro_LFQ,mice,center.median,2.0
ttest,pro_LFQ,MLE,No_norm,2.0
limma,norm_raw,min,No_norm,2.0
ttest,pro_LFQ,MinDet,quantiles,2.0
limma,raw,MinDet,No_norm,2.0
DEP,pro_LFQ,QRILC,center.median,2.0
SAM,norm,zero,No_norm,2.0
DEP,MaxLFQ_raw,min,No_norm,2.0
ROTS,norm_raw,min,No_norm,2.0
DEP,MaxLFQ_raw,MinDet,quantiles,2.0
ROTS,norm_raw,missForest,center.median,2.0
ROTS,norm_raw,min,center.median,2.0
limma,raw,min,center.mean,2.0
ROTS,norm_raw,missForest,center.mean,2.0
SAM,pro_LFQ,MinProb,center.median,2.0
ROTS,pro_LFQ,zero,vsn,2.0
ROTS,norm_raw,missForest,No_norm,2.0
SAM,pro_LFQ,QRILC,quantiles,2.0
SAM,norm,bpca,quantiles,2.0
ROTS,raw,missForest,center.mean,2.0
ROTS,raw,missForest,quantiles,2.0
SAM,norm,min,quantiles,2.0
SAM,norm,QRILC,quantiles,2.0
ROTS,norm_raw,missForest,quantiles,2.0
siggenes,norm,min,vsn,2.0
SAM,pro_LFQ,missForest,quantiles,2.0
limma,norm_raw,QRILC,center.mean,2.0
SAM,norm,missForest,quantiles,2.0
limma,MaxLFQ_raw,zero,center.mean,2.0
limma,norm_raw,QRILC,No_norm,2.0
limma,raw,QRILC,quantiles,2.0
limma,norm_raw,min,center.mean,2.0
limma,pro_LFQ,bpca,max,2.0
limma,raw,MinProb,No_norm,2.0
limma,raw,QRILC,center.median,2.0
limma,raw,bpca,center.mean,2.0
SAM,norm,MLE,quantiles,2.0
DEP,pro_LFQ,knn,quantiles,2.0
SAM,norm,MinProb,center.mean,2.0
ttest,pro_LFQ,bpca,No_norm,2.0
ROTS,MaxLFQ_raw,zero,No_norm,2.0
SAM,norm,MinDet,center.mean,2.0
limma,norm,min,vsn,2.0
limma,raw,min,center.median,2.0
limma,pro_LFQ,bpca,vsn,2.0
