"protein","contrast","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"168","sp|P16474|BIP_YEAST","conditionB-conditionA",3.8114703790629e-09,-1.09700823165002,1.68977478751593e-07,"YEAST","1","-1"
"169","sp|P21954|IDHP_YEAST","conditionB-conditionA",3.81373645168733e-09,-1.10531454673007,1.68977478751593e-07,"YEAST","1","-1"
"170","sp|P36775|LONM_YEAST","conditionB-conditionA",3.85052725392926e-09,-1.0998412639833,1.68977478751593e-07,"YEAST","1","-1"
"171","sp|P04806|HXKA_YEAST","conditionB-conditionA",3.85194800478868e-09,-1.0943359811561,1.68977478751593e-07,"YEAST","1","-1"
"172","sp|P00958|SYMC_YEAST","conditionB-conditionA",3.85856252969179e-09,-1.08596040875359,1.68977478751593e-07,"YEAST","1","-1"
"173","sp|P07149|FAS1_YEAST","conditionB-conditionA",3.86884660431923e-09,-1.06826978209445,1.68977478751593e-07,"YEAST","1","-1"
"174","sp|P18562|UPP_YEAST","conditionB-conditionA",3.88729171906767e-09,-1.09409106365382,1.68977478751593e-07,"YEAST","1","-1"
"175","sp|Q12335|PST2_YEAST","conditionB-conditionA",3.89499197029999e-09,-1.09320347159949,1.68977478751593e-07,"YEAST","1","-1"
"176","sp|P49435|APT1_YEAST","conditionB-conditionA",3.92758603008632e-09,-1.16439376233839,1.68977478751593e-07,"YEAST","1","-1"
"177","sp|P40075|SCS2_YEAST","conditionB-conditionA",3.94865622841851e-09,-1.10521587251773,1.68977478751593e-07,"YEAST","1","-1"
"178","sp|P40150|SSB2_YEAST","conditionB-conditionA",3.98980869341448e-09,-1.07400731987673,1.68977478751593e-07,"YEAST","1","-1"
"179","sp|P09064|IF2B_YEAST","conditionB-conditionA",3.99395437799561e-09,-1.10687734638819,1.68977478751593e-07,"YEAST","1","-1"
"180","sp|P32897|TIM23_YEAST","conditionB-conditionA",4.04350120607501e-09,-1.06063736821899,1.68977478751593e-07,"YEAST","1","-1"
"181","sp|P19881|PNPP_YEAST","conditionB-conditionA",4.05301485032043e-09,-1.17232597613438,1.68977478751593e-07,"YEAST","1","-1"
"182","sp|Q06440|CORO_YEAST","conditionB-conditionA",4.0559225244846e-09,-1.05748197946607,1.68977478751593e-07,"YEAST","1","-1"
"183","sp|Q01662|MAP1_YEAST","conditionB-conditionA",4.05874587385191e-09,-1.1435879697555,1.68977478751593e-07,"YEAST","1","-1"
