DEA,expression_type,MVI,Normalization,label
ROTS,phi,zero,No_norm,2.0
DEP,phi,knn,lossf,2.0
DEP,phi,nbavg,lossf,2.0
DEP,phi,MinDet,lossf,2.0
DEP,phi,min,lossf,2.0
ttest,ratio,GMS,No_norm,2.0
ttest,abd,SeqKNN,No_norm,2.0
ttest,ratio,GMS,center.median,2.0
ttest,abd,GMS,No_norm,2.0
ttest,phi,bpca,No_norm,2.0
ttest,phi,Impseqrob,No_norm,2.0
ttest,ratio,SeqKNN,No_norm,2.0
ttest,phi,Impseq,No_norm,2.0
ttest,ratio,SeqKNN,center.median,2.0
ROTS,abd,mice,Rlr,2.0
ttest,phi,missForest,No_norm,2.0
ttest,ratio,mice,No_norm,2.0
ttest,phi,GMS,No_norm,2.0
ttest,ratio,mice,center.median,2.0
ROTS,abd,No_MVI,Rlr,2.0
ttest,phi,SeqKNN,No_norm,2.0
ttest,phi,QRILC,No_norm,2.0
ttest,phi,mice,No_norm,2.0
ttest,phi,No_MVI,No_norm,2.0
ttest,abd,missForest,No_norm,2.0
ttest,phi,MLE,No_norm,2.0
ttest,phi,zero,No_norm,2.0
ttest,ratio,Impseq,No_norm,2.0
ttest,ratio,missForest,No_norm,2.0
ttest,ratio,Impseq,center.median,2.0
ttest,abd,No_MVI,No_norm,2.0
ttest,ratio,bpca,No_norm,2.0
ttest,ratio,No_MVI,No_norm,2.0
ROTS,abd,Impseqrob,Rlr,2.0
ttest,ratio,bpca,center.median,2.0
ttest,ratio,Impseqrob,No_norm,2.0
ROTS,abd,Impseq,Rlr,2.0
ROTS,abd,SeqKNN,Rlr,2.0
ttest,ratio,Impseqrob,center.median,2.0
ROTS,abd,GMS,Rlr,2.0
ROTS,abd,bpca,Rlr,2.0
ttest,phi,knn,No_norm,2.0
ttest,abd,knn,No_norm,2.0
ttest,ratio,missForest,center.median,2.0
ttest,phi,nbavg,No_norm,2.0
ttest,phi,MinProb,No_norm,2.0
ttest,ratio,No_MVI,center.median,2.0
ttest,ratio,zero,No_norm,2.0
ttest,abd,bpca,No_norm,2.0
ttest,phi,min,No_norm,2.0
ttest,abd,MLE,No_norm,2.0
ttest,abd,mice,No_norm,2.0
ttest,ratio,MLE,No_norm,2.0
ttest,abd,Impseqrob,No_norm,2.0
ttest,ratio,knn,No_norm,2.0
ttest,abd,zero,No_norm,2.0
ttest,phi,MinDet,No_norm,2.0
ttest,abd,Impseq,No_norm,2.0
ttest,ratio,zero,center.median,2.0
ttest,ratio,knn,center.median,2.0
ttest,ratio,MLE,center.median,2.0
ttest,abd,QRILC,No_norm,2.0
ROTS,abd,missForest,Rlr,2.0
ttest,ratio,MinProb,No_norm,2.0
