"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"136","sp|P49167|RL38_YEAST","conditionC-conditionB",28.9107467981213,2.33825074680283e-06,0.372060159123366,0.000116964116400733,"YEAST","1","0.321928094887362"
"137","sp|Q8WWZ8|OIT3_HUMAN","conditionC-conditionB",22.2440831872704,2.4009750211329e-06,-1.65678459181103,0.00011922505889611,"HUMAN","0","0"
"138","sp|P39938|RS26A_YEAST;sp|P39939|RS26B_YEAST","conditionC-conditionB",28.797397181107,2.47004776343651e-06,0.400388480908369,0.000119941779968208,"YEAST","1","0.321928094887362"
"139","sp|P05738|RL9A_YEAST","conditionC-conditionB",28.7961549958712,2.47153242638465e-06,0.38159427830627,0.000119941779968208,"YEAST","1","0.321928094887362"
"140","sp|P09733|TBA1_YEAST","conditionC-conditionB",28.7884230239032,2.48079373954546e-06,0.369035517146139,0.000119941779968208,"YEAST","1","0.321928094887362"
"141","sp|Q12213|RL7B_YEAST","conditionC-conditionB",28.7841462082715,2.48593135021569e-06,0.698495883265801,0.000119941779968208,"YEAST","1","0.321928094887362"
"142","sp|P0C0V8|RS21A_YEAST","conditionC-conditionB",28.7681149897114,2.50528382517157e-06,0.695763025930402,0.000120024266638325,"YEAST","1","0.321928094887362"
"143","sp|P48164|RS7B_YEAST","conditionC-conditionB",28.7158049295823,2.56948273791302e-06,0.321312676213072,0.000122239098363792,"YEAST","1","0.321928094887362"
"144","sp|P20081|FKBP_YEAST","conditionC-conditionB",28.6968997723181,2.59308619721121e-06,0.307677082635973,0.000122505315275194,"YEAST","1","0.321928094887362"
"145","sp|P31688|TPS2_YEAST","conditionC-conditionB",28.6273820438376,2.6817559392045e-06,0.362246417343901,0.000125820590720057,"YEAST","1","0.321928094887362"
"146","sp|P38249|EIF3A_YEAST","conditionC-conditionB",28.591946637959,2.72811124590877e-06,0.680006136048837,0.00012711877264327,"YEAST","1","0.321928094887362"
"147","sp|P37302|APE3_YEAST","conditionC-conditionB",28.5763040201798,2.74882787210107e-06,0.459516649485936,0.000127212761999344,"YEAST","1","0.321928094887362"
